GLOSS	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY	CHECKED
to divorce	415	3672	DIVORCE (SEPARATE)	3	
bride price	416	3024	BRIDE PRICE	2	
betrothal	417		???		
to give birth to	418		???		
midwife	419	3859	MIDWIFE	2	
to commit adultery	420		???		
prostitute	421	1610	PROSTITUTE	2	
dancing girl	422		???		
mask	423	2005	MASK	2	
violin	424		???		
flute	425	777	FLUTE	2	
drum	426	908	DRUM	2	
tambourine	427	3141	TAMBOURINE	2	
xylophone	428		???		
gong	429	2502	GONG	2	
conch shell	430		???		
Jew's harp	431	3319	JEW’S HARP	2	
#<<<					
horn	432	1393	HORN (ANATOMY)	2	
horn	432	939	HORN (INSTRUMENT)	2	
#>>>					
to dance	433	1879	DANCE	1	
song	434	1096	SONG	2	
riddle	435	2970	RIDDLE	2	
to ask a riddle	436		???		
to play	437	1413	PLAY	1	
#<<<					
top	438	1614	SUMMIT	2	
top	438	1753	TOP	2	
#>>>					
to spin a top	439		???		
to hop	440		???		
to kick/to hit a person on the calves (k.o. play)	441	1135	KICK	3	
house	442	1252	HOUSE	2	
#<<<					
hut, shelter	443	1678	HUT	4	
hut, shelter	443	1252	HOUSE	4	
#>>>					
roof	444	769	ROOF	2	
ridge of roof	445		???		
#<<<					
roofing: thatch	446	279	THATCH	4	
roofing: thatch	446	2100	THATCH OR ROOF	4	
#>>>					
roofing: bamboo lath	447		???		
#<<<					
roofing: wood	448	2141	TREE OR WOOD	4	
roofing: wood	448	1803	WOOD	4	
roofing: wood	448	1295	STICK	4	
roofing: wood	448	906	TREE	4	
roofing: wood	448	10	FIREWOOD	4	
#>>>					
#<<<					
roofing: bark	449	3865	BARK OR SHELL	4	
roofing: bark	449	2127	BARK OR SKIN	4	
roofing: bark	449	1204	BARK	4	
roofing: bark	449	1206	BARKING	4	
#>>>					
roofing: other materials	450		???		
rafter	451	829	RAFTER	2	
porch	452	3269	PORCH	2	
door opening	453		???		
door	454	1567	DOOR	2	
window opening	455		???		
window	456	1375	WINDOW	2	
corner	457	192	CORNER	2	
staircase, steps	458	1158	STEP	4	
ladder	459	1464	LADDER	2	
to climb into a house	460		???		
floor (made from bamboo lath)	461	1632	FLOOR	4	
floor (made from wood)	462	1632	FLOOR	4	
#<<<					
wall (plank wall)	463	933	WALL (OF HOUSE)	4	
wall (plank wall)	463	3830	WALL	4	
#>>>					
#<<<					
wall (bamboo wall)	464	933	WALL (OF HOUSE)	4	
wall (bamboo wall)	464	3830	WALL	4	
#>>>					
midrib of palm frond	465		???		
main posts	466		???		
ceiling beams	467		???		
bed	468	1663	BED	2	
curtain	469	2621	CURTAIN	2	
sleeping place	470		???		
small room	471		???		
cylindrical bolster	472		???		
sleeping mat	473	105	MATTRESS	2	
pillow	474	1044	PILLOW	2	
couch	475	3099	SOFA	2	
front verandah	476		???		
attic (under the roof)	477		???		
rack above the  fireplace	478		???		
hearth, fireplace	479	185	FIREPLACE	2	
fire	480	221	FIRE	2	
fire	481	221	FIRE	2	
to make a fire	482	737	LIGHT (IGNITE)	3	
to extinguish (with water)	483	127	EXTINGUISH	3	
to extinguish	484	127	EXTINGUISH	1	
to blow on a fire	485		???		
extinguished	486	2209	BECOME EXTINGUISHED	4	
#<<<					
smoke	487	1689	SMOKE (INHALE)	2	
smoke	487	2859	SMOKE (EMIT SMOKE)	2	
smoke	487	778	SMOKE (EXHAUST)	2	
#>>>					
ashes	488	646	ASH	2	
fire wood	489		???		
to put on (light)	490	158	PUT ON	3	
to put off (light)	491		???		
space under the house	492		???		
bed curtain	493		???		
bench, seat	494	2584	BENCH	2	
to build	495	1840	BUILD	1	
to pull down (house)	496		???		
coconut shell	497		???		
#<<<					
pot (iron)	498	3653	COOKING POT	4	
pot (iron)	498	2056	WOK	4	
pot (iron)	498	1462	POT	4	
pot (iron)	498	3765	STORING POT	4	
pot (iron)	498	854	KETTLE	4	
#>>>					
#<<<					
pot (earthenware)	499	3653	COOKING POT	4	
pot (earthenware)	499	2056	WOK	4	
pot (earthenware)	499	1462	POT	4	
pot (earthenware)	499	3765	STORING POT	4	
pot (earthenware)	499	854	KETTLE	4	
#>>>					
rice kettle (copper)	500		???		
rice kettle (earthenware)	501		???		
#<<<					
dish	502	3542	PREPARED FOOD	2	
dish	502	481	DISH	2	
dish	502	480	PLATE	2	
#>>>					
cup	503	476	CUP	2	
drinking bowl	504		???		
#<<<					
(tea) pot	505	3653	COOKING POT	4	
(tea) pot	505	2056	WOK	4	
(tea) pot	505	1462	POT	4	
(tea) pot	505	3765	STORING POT	4	
(tea) pot	505	854	KETTLE	4	
#>>>					
saucer (earthenware)	506	271	SAUCER	4	
small saucer (earthenware)	507		???		
copper saucer	508		???		
copper dish	509		???		
knife	510	1352	KNIFE	2	
#<<<					
chopper	511	3067	CLEAVER	2	
chopper	511	2772	KITCHEN KNIFE	2	
#>>>					
kris	512		???		
dagger	513		???		
#<<<					
axe, hatchet	514	677	AXE	4	
axe, hatchet	514	2083	AXE (CLASSIFIER)	4	
#>>>					
spoon	515	1378	SPOON	2	
#<<<					
ladle	516	2657	LADLE	2	
